00:00.00 | START
00:02.29 | Image taken 1
00:02.29 | Image capture success 1
00:07.08 | Image taken 2
00:07.08 | Image capture success 2
00:11.78 | Image taken 3
00:11.78 | Image capture success 3
00:16.61 | Image taken 4
00:16.61 | Image capture success 4
00:21.37 | Image taken 5
00:21.37 | Image capture success 5
00:26.07 | Image taken 6
00:26.07 | Image capture success 6
00:30.87 | Image taken 7
00:30.87 | Image capture success 7
00:35.64 | Image taken 8
00:35.64 | Image capture success 8
00:40.34 | Image taken 9
00:40.34 | Image capture success 9
00:45.27 | Image taken 10
00:45.27 | Image capture success 10
00:49.97 | Image taken 11
00:49.97 | Image capture success 11
00:54.87 | Image taken 12
00:54.87 | Image capture success 12
00:59.57 | Image taken 13
00:59.57 | Image capture success 13
01:04.49 | Image taken 14
01:04.49 | Image capture success 14
01:09.19 | Image taken 15
01:09.19 | Image capture success 15
01:14.11 | Image taken 16
01:14.11 | Image capture success 16
01:18.80 | Image taken 17
01:18.80 | Image capture success 17
01:23.72 | Image taken 18
01:23.72 | Image capture success 18
01:28.41 | Image taken 19
01:28.41 | Image capture success 19
01:33.31 | Image taken 20
01:33.31 | Image capture success 20
01:38.01 | Image taken 21
01:38.01 | Image capture success 21
01:42.81 | Image taken 22
01:42.82 | Image capture success 22
01:47.56 | Image taken 23
01:47.56 | Image capture success 23
01:52.25 | Image taken 24
01:52.25 | Image capture success 24
01:57.01 | Image taken 25
01:57.01 | Image capture success 25
02:01.74 | Image taken 26
02:01.74 | Image capture success 26
02:06.50 | Image taken 27
02:06.50 | Image capture success 27
02:11.19 | Image taken 28
02:11.19 | Image capture success 28
02:16.11 | Image taken 29
02:16.11 | Image capture success 29
02:20.79 | Image taken 30
02:20.79 | Image capture success 30
02:25.58 | Image taken 31
02:25.58 | Image capture success 31
02:30.31 | Image taken 32
02:30.31 | Image capture success 32
02:34.99 | Image taken 33
02:34.99 | Image capture success 33
02:39.89 | Image taken 34
02:39.89 | Image capture success 34
02:44.56 | Image taken 35
02:44.56 | Image capture success 35
02:49.46 | Image taken 36
02:49.46 | Image capture success 36
02:54.13 | Image taken 37
02:54.13 | Image capture success 37
02:58.79 | Image taken 38
02:58.79 | Image capture success 38
03:03.56 | Image taken 39
03:03.56 | Image capture success 39
03:08.28 | Image taken 40
03:08.28 | Image capture success 40
03:12.94 | Image taken 41
03:12.94 | Image capture success 41
03:17.82 | Image taken 42
03:17.82 | Image capture success 42
03:22.48 | Image taken 43
03:22.48 | Image capture success 43
03:27.39 | Image taken 44
03:27.39 | Image capture success 44
03:32.05 | Image taken 45
03:32.05 | Image capture success 45
03:36.93 | Image taken 46
03:36.93 | Image capture success 46
03:41.60 | Image taken 47
03:41.60 | Image capture success 47
03:46.51 | Image taken 48
03:46.51 | Image capture success 48
03:51.22 | Image taken 49
03:51.22 | Image capture success 49
03:56.10 | Image taken 50
03:56.10 | Image capture success 50
04:00.76 | Image taken 51
04:00.76 | Image capture success 51
04:05.61 | Image taken 52
04:05.61 | Image capture success 52
04:10.27 | Image taken 53
04:10.27 | Image capture success 53
04:15.16 | Image taken 54
04:15.16 | Image capture success 54
04:19.82 | Image taken 55
04:19.82 | Image capture success 55
04:24.70 | Image taken 56
04:24.70 | Image capture success 56
04:29.36 | Image taken 57
04:29.36 | Image capture success 57
04:34.26 | Image taken 58
04:34.26 | Image capture success 58
04:38.93 | Image taken 59
04:38.93 | Image capture success 59
04:43.78 | Image taken 60
04:43.78 | Image capture success 60
04:48.45 | Image taken 61
04:48.45 | Image capture success 61
04:53.35 | Image taken 62
04:53.35 | Image capture success 62
04:58.03 | Image taken 63
04:58.03 | Image capture success 63
05:02.93 | Image taken 64
05:02.93 | Image capture success 64
05:07.60 | Image taken 65
05:07.60 | Image capture success 65
05:12.36 | Image taken 66
05:12.36 | Image capture success 66
05:17.09 | Image taken 67
05:17.09 | Image capture success 67
05:21.76 | Image taken 68
05:21.76 | Image capture success 68
05:26.66 | Image taken 69
05:26.66 | Image capture success 69
05:31.33 | Image taken 70
05:31.33 | Image capture success 70
05:36.23 | Image taken 71
05:36.23 | Image capture success 71
05:40.90 | Image taken 72
05:40.90 | Image capture success 72
05:45.80 | Image taken 73
05:45.80 | Image capture success 73
05:50.48 | Image taken 74
05:50.48 | Image capture success 74
05:55.37 | Image taken 75
05:55.37 | Image capture success 75
06:00.05 | Image taken 76
06:00.05 | Image capture success 76
06:03.05 | Pair started image001.jpg - image002.jpg
06:03.07 | EXIF time read image001.jpg
06:03.08 | EXIF time read image002.jpg
06:03.22 | Image load success image001.jpg
06:03.33 | Image load success image002.jpg
06:04.57 | Match count 846
06:04.58 | Speed calculated image001.jpg - image002.jpg - 7.3753
06:04.58 | Pair started image001.jpg - image003.jpg
06:04.58 | EXIF time read image001.jpg
06:04.59 | EXIF time read image003.jpg
06:04.59 | Pair skipped - Invalid dt
06:04.59 | Pair started image002.jpg - image003.jpg
06:04.59 | EXIF time read image002.jpg
06:04.59 | EXIF time read image003.jpg
06:04.70 | Image load success image002.jpg
06:04.81 | Image load success image003.jpg
06:06.08 | Match count 879
06:06.08 | Speed calculated image002.jpg - image003.jpg - 7.3839
06:06.08 | Pair started image002.jpg - image004.jpg
06:06.09 | EXIF time read image002.jpg
06:06.09 | EXIF time read image004.jpg
06:06.09 | Pair skipped - Invalid dt
06:06.09 | Pair started image003.jpg - image004.jpg
06:06.10 | EXIF time read image003.jpg
06:06.10 | EXIF time read image004.jpg
06:06.20 | Image load success image003.jpg
06:06.29 | Image load success image004.jpg
06:07.59 | Match count 886
06:07.60 | Speed calculated image003.jpg - image004.jpg - 7.4710
06:07.60 | Pair started image003.jpg - image005.jpg
06:07.60 | EXIF time read image003.jpg
06:07.61 | EXIF time read image005.jpg
06:07.61 | Pair skipped - Invalid dt
06:07.61 | Pair started image004.jpg - image005.jpg
06:07.61 | EXIF time read image004.jpg
06:07.61 | EXIF time read image005.jpg
06:07.71 | Image load success image004.jpg
06:07.81 | Image load success image005.jpg
06:09.13 | Match count 850
06:09.14 | Speed calculated image004.jpg - image005.jpg - 8.8454
06:09.14 | Pair started image004.jpg - image006.jpg
06:09.14 | EXIF time read image004.jpg
06:09.14 | EXIF time read image006.jpg
06:09.14 | Pair skipped - Invalid dt
06:09.14 | Pair started image005.jpg - image006.jpg
06:09.15 | EXIF time read image005.jpg
06:09.15 | EXIF time read image006.jpg
06:09.25 | Image load success image005.jpg
06:09.35 | Image load success image006.jpg
06:10.70 | Match count 871
06:10.70 | Speed calculated image005.jpg - image006.jpg - 7.3348
06:10.70 | Pair started image005.jpg - image007.jpg
06:10.70 | EXIF time read image005.jpg
06:10.71 | EXIF time read image007.jpg
06:10.71 | Pair skipped - Invalid dt
06:10.71 | Pair started image006.jpg - image007.jpg
06:10.71 | EXIF time read image006.jpg
06:10.72 | EXIF time read image007.jpg
06:10.81 | Image load success image006.jpg
06:10.91 | Image load success image007.jpg
06:12.27 | Match count 839
06:12.28 | Speed calculated image006.jpg - image007.jpg - 7.4631
06:12.28 | Pair started image006.jpg - image008.jpg
06:12.28 | EXIF time read image006.jpg
06:12.29 | EXIF time read image008.jpg
06:12.29 | Pair skipped - Invalid dt
06:12.29 | Pair started image007.jpg - image008.jpg
06:12.29 | EXIF time read image007.jpg
06:12.29 | EXIF time read image008.jpg
06:12.39 | Image load success image007.jpg
06:12.49 | Image load success image008.jpg
06:13.87 | Match count 934
06:13.87 | Speed calculated image007.jpg - image008.jpg - 7.1589
